symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,total_capital,tradable_ammount,quantity_bought,trade_ammount,absolute_profit,exit_ammount,charges,net_profit
INFY,2024-07-02 10:30:00,2024-07-02 12:30:00,1617.0,1632.45,10.710000000000036,long,take_profit,10000.0,5000,15.0,4851.0,160.65000000000055,5011.650000000001,26.786528999999998,133.86347100000054
TATACONSUM,2024-07-03 13:15:00,2024-07-03 13:25:00,1130.05,1126.56,-3.490000000000009,long,stop_loss,10133.863471,5000,22.0,4972.219999999999,-76.7800000000002,4895.439999999999,27.4487048,-104.2287048000002
TATACONSUM,2024-07-03 13:30:00,2024-07-03 15:25:00,1129.66,1132.92,3.259999999999991,long,market_close,10029.6347662,5000,22.0,4970.504,71.7199999999998,5042.224,27.437524399999997,44.2824755999998
CIPLA,2024-07-05 10:30:00,2024-07-05 10:55:00,1511.4,1506.72,-4.680000000000064,long,stop_loss,10073.9172418,5000,16.0,4836.4800000000005,-74.88000000000102,4761.599999999999,26.699481600000002,-101.57948160000102
ONGC,2024-07-08 11:55:00,2024-07-08 12:05:00,295.4,294.24,-1.1599999999999682,long,stop_loss,9972.337760199998,5000,84.0,4962.719999999999,-97.43999999999733,4865.2800000000025,27.423026399999998,-124.86302639999732
ONGC,2024-07-08 12:30:00,2024-07-08 14:15:00,294.45,298.0,2.920000000000016,long,take_profit,9847.474733800002,5000,84.0,4946.76,245.28000000000134,5192.040000000002,27.3690648,217.91093520000135
ONGC,2024-07-08 14:30:00,2024-07-08 15:00:00,300.95,299.72,-1.2299999999999613,long,stop_loss,10065.385669000003,5000,83.0,4995.7699999999995,-102.08999999999679,4893.680000000003,27.6114938,-129.7014937999968
HEROMOTOCO,2024-07-09 10:40:00,2024-07-09 10:45:00,5593.4,5574.54,-18.859999999999673,long,stop_loss,9935.684175200005,5000,4.0,4474.719999999999,-75.43999999999869,4399.280000000001,24.7105144,-100.15051439999868
HEROMOTOCO,2024-07-09 10:50:00,2024-07-09 11:20:00,5546.4,5525.57,-20.829999999999927,long,stop_loss,9835.533660800007,5000,4.0,4437.12,-83.31999999999971,4353.8,24.5141424,-107.8341423999997
DIVISLAB,2024-07-10 11:25:00,2024-07-10 12:10:00,4588.2,4618.8,29.48999999999978,long,take_profit,9727.699518400008,5000,5.0,4588.2,147.4499999999989,4735.649999999999,25.332416999999996,122.11758299999892
POWERGRID,2024-07-10 12:15:00,2024-07-10 13:00:00,346.35,345.23,-1.1200000000000045,long,stop_loss,9849.817101400007,5000,72.0,4987.4400000000005,-80.64000000000033,4906.8,27.5373648,-108.17736480000033
ASIANPAINT,2024-07-10 14:35:00,2024-07-10 14:55:00,3006.4,2992.97,-13.430000000000291,long,stop_loss,9741.639736600007,5000,8.0,4810.24,-107.44000000000233,4702.799999999997,26.5981408,-134.03814080000234
COALINDIA,2024-07-11 11:15:00,2024-07-11 12:15:00,505.45,503.6,-1.849999999999966,long,stop_loss,9607.601595800004,5000,49.0,4953.41,-90.64999999999833,4862.760000000001,27.363412999999998,-118.01341299999832
ONGC,2024-07-12 10:45:00,2024-07-12 10:55:00,310.85,309.62,-1.2300000000000182,long,stop_loss,9489.588182800006,5000,80.0,4973.6,-98.40000000000146,4875.199999999999,27.484160000000003,-125.88416000000146
TECHM,2024-07-12 11:00:00,2024-07-12 14:45:00,1500.3,1507.8,10.059999999999945,long,take_profit,9363.704022800004,5000,16.0,4800.96,160.95999999999913,4961.919999999999,26.5115136,134.44848639999913
BAJAJ-AUTO,2024-07-15 10:35:00,2024-07-15 11:40:00,9531.0,9639.95,65.79000000000087,long,take_profit,9498.152509200003,5000,2.0,3812.4,131.58000000000175,3943.980000000002,21.055042800000003,110.52495720000175
TATACONSUM,2024-07-16 10:55:00,2024-07-16 13:15:00,1154.01,1162.55,7.069999999999936,long,take_profit,9608.677466400004,5000,21.0,4846.842,148.46999999999866,4995.311999999998,26.755621199999997,121.71437879999867
BAJAJFINSV,2024-07-18 10:30:00,2024-07-18 13:15:00,1628.75,1640.8,12.079999999999927,long,take_profit,9730.391845200003,5000,15.0,4886.25,181.1999999999989,5067.449999999999,26.993966999999998,154.2060329999989
WIPRO,2024-07-18 13:40:00,2024-07-18 14:35:00,571.4,569.6,-1.7999999999999545,long,stop_loss,9884.597878200002,5000,43.0,4914.04,-77.39999999999804,4836.640000000002,27.129104199999997,-104.52910419999805
BPCL,2024-07-19 12:30:00,2024-07-22 10:05:00,308.85,311.2,1.8799999999999955,long,take_profit,9780.068774000005,5000,80.0,4941.6,150.39999999999964,5092.0,27.278064000000004,123.12193599999964
M&M,2024-07-22 10:30:00,2024-07-22 15:25:00,2806.35,2804.75,-1.599999999999909,long,market_close,9903.190710000004,5000,8.0,4490.16,-12.799999999999272,4477.360000000001,24.822758399999998,-37.62275839999927
ADANIPORTS,2024-07-23 11:20:00,2024-07-23 11:40:00,1487.8,1482.29,-5.509999999999991,long,stop_loss,9865.567951600005,5000,16.0,4760.96,-88.15999999999985,4672.8,26.301545599999997,-114.46154559999985
TATACONSUM,2024-07-23 11:45:00,2024-07-23 13:05:00,1219.84,1229.22,10.190000000000055,long,take_profit,9751.106406000006,5000,20.0,4879.36,203.8000000000011,5083.160000000001,26.970988,176.8290120000011
DRREDDY,2024-07-23 13:10:00,2024-07-23 13:15:00,6856.6,6833.45,-23.150000000000546,long,stop_loss,9927.935418000008,5000,3.0,4113.960000000001,-69.45000000000164,4044.5099999999993,22.7184738,-92.16847380000164
TATACONSUM,2024-07-23 13:20:00,2024-07-23 15:05:00,1231.15,1243.44,14.11999999999989,long,take_profit,9835.766944200006,5000,20.0,4924.6,282.3999999999978,5206.999999999998,27.271684,255.12831599999782
NTPC,2024-07-24 10:35:00,2024-07-24 10:50:00,392.25,390.43,-1.8199999999999932,long,stop_loss,10090.895260200004,5000,63.0,4942.35,-114.65999999999957,4827.6900000000005,27.334276199999998,-141.99427619999958
SBILIFE,2024-07-24 10:55:00,2024-07-24 13:05:00,1645.45,1638.18,-7.269999999999982,long,stop_loss,9948.900984000005,5000,15.0,4936.35,-109.04999999999973,4827.300000000001,27.29397,-136.34396999999973
BPCL,2024-07-25 10:35:00,2024-07-25 10:45:00,319.4,322.1,2.7700000000000387,long,take_profit,9812.557014000005,5000,78.0,4982.639999999999,216.06000000000301,5198.700000000003,27.547119600000002,188.512880400003
ONGC,2024-07-25 10:50:00,2024-07-25 11:35:00,329.9,333.0,3.0100000000000477,long,take_profit,10001.069894400009,5000,75.0,4948.5,225.75000000000358,5174.250000000004,27.365745,198.38425500000358
COALINDIA,2024-07-25 11:50:00,2024-07-25 11:55:00,503.1,501.39,-1.7100000000000364,long,stop_loss,10199.454149400011,5000,49.0,4930.38,-83.79000000000178,4846.589999999998,27.2280162,-111.01801620000178
SBILIFE,2024-07-25 12:20:00,2024-07-25 12:35:00,1670.95,1677.2,10.190000000000055,long,take_profit,10088.43613320001,5000,14.0,4678.66,142.66000000000076,4821.320000000001,25.826785600000004,116.83321440000076
TECHM,2024-07-25 12:45:00,2024-07-25 14:00:00,1540.95,1535.0,-5.9500000000000455,long,stop_loss,10205.269347600011,5000,16.0,4931.04,-95.20000000000073,4835.839999999999,27.2464896,-122.44648960000073
DIVISLAB,2024-07-26 10:30:00,2024-07-26 12:00:00,4690.0,4721.75,42.25,long,take_profit,10082.82285800001,5000,5.0,4690.0,211.25,4901.25,25.934425,185.315575
HDFCLIFE,2024-07-26 12:20:00,2024-07-26 13:10:00,705.5,703.14,-2.3600000000000136,long,stop_loss,10268.138433000011,5000,35.0,4938.5,-82.60000000000048,4855.9,27.271013000000004,-109.87101300000049
TATAMOTORS,2024-07-30 11:50:00,2024-07-30 12:00:00,1178.1,1174.24,-3.8599999999999,long,stop_loss,10158.267420000011,5000,21.0,4948.0199999999995,-81.0599999999979,4866.960000000002,27.3211092,-108.3811091999979
BAJAJFINSV,2024-07-30 14:05:00,2024-07-31 09:30:00,1665.25,1660.1,-5.150000000000091,long,stop_loss,10049.886310800013,5000,15.0,4995.75,-77.25000000000136,4918.499999999998,27.578694,-104.82869400000136
ADANIENT,2024-07-31 12:15:00,2024-07-31 13:25:00,3189.45,3179.14,-10.309999999999945,long,stop_loss,9945.057616800012,5000,7.0,4465.23,-72.16999999999962,4393.0599999999995,24.6540756,-96.82407559999962
POWERGRID,2024-08-01 11:30:00,2024-08-01 13:10:00,360.4,359.2,-1.1999999999999886,long,stop_loss,9848.233541200012,5000,69.0,4973.5199999999995,-82.79999999999922,4890.72,27.463200599999997,-110.26320059999921
SUNPHARMA,2024-08-01 13:20:00,2024-08-01 14:10:00,1726.9,1720.67,-6.230000000000018,long,stop_loss,9737.970340600014,5000,14.0,4835.320000000001,-87.22000000000025,4748.1,26.709390399999997,-113.92939040000024
TATASTEEL,2024-08-02 10:35:00,2024-08-02 13:20:00,159.1,158.5,-0.5999999999999943,long,stop_loss,9624.040950200013,5000,157.0,4995.74,-94.19999999999911,4901.540000000001,27.600914000000003,-121.80091399999911
NTPC,2024-08-02 13:50:00,2024-08-02 14:00:00,426.2,424.85,-1.349999999999966,long,stop_loss,9502.240036200013,5000,58.0,4943.92,-78.29999999999802,4865.620000000002,27.294915999999997,-105.59491599999802
NTPC,2024-08-02 14:20:00,2024-08-05 10:05:00,422.3,420.71,-1.5900000000000318,long,stop_loss,9396.645120200015,5000,59.0,4983.14,-93.81000000000188,4889.329999999998,27.531099200000003,-121.34109920000188
TATACONSUM,2024-08-05 10:30:00,2024-08-05 12:05:00,1212.85,1206.96,-5.889999999999873,long,stop_loss,9275.304021000013,5000,20.0,4851.4,-117.79999999999745,4733.600000000002,26.838328000000004,-144.63832799999744
HDFCLIFE,2024-08-05 12:10:00,2024-08-05 13:15:00,704.35,701.08,-3.269999999999982,long,stop_loss,9130.665693000015,5000,35.0,4930.45,-114.44999999999936,4816.0,27.26878,-141.71877999999936
HDFCLIFE,2024-08-05 14:55:00,2024-08-05 15:15:00,712.95,710.67,-2.2800000000000864,long,stop_loss,8988.946913000016,5000,35.0,4990.65,-79.80000000000302,4910.849999999997,27.553911,-107.35391100000302
ADANIENT,2024-08-07 10:30:00,2024-08-07 10:45:00,3165.0,3152.76,-12.239999999999782,long,stop_loss,8881.593002000012,5000,7.0,4431.0,-85.67999999999847,4345.3200000000015,24.4835514,-110.16355139999847
ADANIPORTS,2024-08-07 10:50:00,2024-08-07 11:10:00,1539.0,1534.21,-4.789999999999964,long,stop_loss,8771.429450600013,5000,16.0,4924.8,-76.63999999999942,4848.160000000001,27.1876704,-103.82767039999942
TATAMOTORS,2024-08-12 10:30:00,2024-08-13 10:05:00,1076.9,1072.73,-4.170000000000073,long,stop_loss,8667.601780200013,5000,23.0,4953.74,-95.91000000000167,4857.829999999998,27.372323,-123.28232300000167
TCS,2024-08-14 10:30:00,2024-08-14 10:45:00,4291.05,4277.11,-13.94000000000051,long,stop_loss,8544.319457200012,5000,5.0,4291.05,-69.70000000000255,4221.349999999998,23.692811999999996,-93.39281200000255
APOLLOHOSP,2024-08-14 10:55:00,2024-08-14 11:45:00,6839.85,6800.62,-39.23000000000047,long,stop_loss,8450.92664520001,5000,3.0,4103.910000000001,-117.69000000000142,3986.2199999999993,22.726836000000002,-140.4168360000014
SBILIFE,2024-08-21 10:30:00,2024-08-21 10:40:00,1785.05,1777.8,-7.25,long,stop_loss,8310.509809200008,5000,14.0,4998.14,-101.5,4896.64,27.62375,-129.12375
DIVISLAB,2024-08-21 10:50:00,2024-08-21 10:55:00,4960.0,4941.75,-18.25,long,stop_loss,8181.386059200008,5000,5.0,4960.0,-91.25,4868.75,27.400416999999997,-118.650417
DIVISLAB,2024-08-21 11:00:00,2024-08-21 11:25:00,4920.05,4899.92,-20.13000000000011,long,stop_loss,8062.735642200008,5000,5.0,4920.05,-100.65000000000055,4819.4,27.193133,-127.84313300000055
GRASIM,2024-08-22 10:35:00,2024-08-22 12:00:00,2750.15,2762.85,17.860000000000127,long,take_profit,7934.892509200008,5000,9.0,4950.27,160.74000000000115,5111.010000000002,27.3325734,133.40742660000114
BPCL,2024-08-23 10:35:00,2024-08-23 10:45:00,353.0,354.8,2.160000000000025,long,take_profit,8068.299935800009,5000,70.0,4942.0,151.20000000000175,5093.200000000002,27.280792,123.91920800000175
BPCL,2024-08-23 10:50:00,2024-08-23 12:25:00,355.0,357.5,2.4399999999999977,long,take_profit,8192.21914380001,5000,70.0,4970.0,170.79999999999984,5140.8,27.447727999999998,143.35227199999986
SBILIFE,2024-08-27 10:35:00,2024-08-27 10:55:00,1793.5,1806.3,12.309999999999945,long,take_profit,8335.57141580001,5000,13.0,4663.1,160.0299999999993,4823.129999999999,25.752669800000003,134.27733019999928
HDFCLIFE,2024-08-27 11:15:00,2024-08-27 11:35:00,731.8,737.1,4.690000000000055,long,take_profit,8469.848746000009,5000,34.0,4976.24,159.46000000000186,5135.700000000002,27.4745636,131.98543640000184
HDFCLIFE,2024-08-27 11:40:00,2024-08-27 11:50:00,738.95,736.5,-2.4500000000000455,long,stop_loss,8601.83418240001,5000,33.0,4877.070000000001,-80.8500000000015,4796.219999999999,26.930824800000003,-107.78082480000151
SBILIFE,2024-08-27 11:55:00,2024-08-27 13:55:00,1832.2,1847.0,12.3599999999999,long,take_profit,8494.053357600009,5000,13.0,4763.72,160.6799999999987,4924.399999999999,26.3065088,134.3734911999987
DIVISLAB,2024-08-28 13:25:00,2024-08-28 13:30:00,5058.7,5042.71,-15.989999999999782,long,stop_loss,8628.426848800007,5000,4.0,4046.96,-63.95999999999913,3983.000000000001,22.3426808,-86.30268079999912
DIVISLAB,2024-08-28 13:35:00,2024-08-28 14:15:00,5048.1,5082.65,34.50999999999931,long,take_profit,8542.124168000008,5000,4.0,4038.4800000000005,138.03999999999724,4176.519999999998,22.3027464,115.73725359999723
BAJAJFINSV,2024-08-29 10:30:00,2024-08-29 15:25:00,1755.45,1753.2,-2.25,long,market_close,8657.861421600004,5000,14.0,4915.26,-31.5,4883.76,27.1804764,-58.6804764
BHARTIARTL,2024-08-30 11:10:00,2024-08-30 11:20:00,1606.75,1601.2,-5.5499999999999545,long,stop_loss,8599.180945200003,5000,15.0,4820.25,-83.24999999999932,4737.000000000001,26.621264999999998,-109.87126499999931
UPL,2024-08-30 11:25:00,2024-08-30 11:35:00,595.75,593.85,-1.8999999999999773,long,stop_loss,8489.309680200004,5000,41.0,4885.15,-77.89999999999907,4807.250000000001,26.971423599999998,-104.87142359999906
BAJAJFINSV,2024-09-02 10:40:00,2024-09-02 11:05:00,1839.0,1854.25,15.539999999999964,long,take_profit,8384.438256600004,5000,13.0,4781.4,202.01999999999953,4983.419999999999,26.431033199999998,175.58896679999953
BAJAJFINSV,2024-09-02 11:10:00,2024-09-02 12:40:00,1854.6,1845.93,-8.669999999999845,long,stop_loss,8560.027223400004,5000,13.0,4821.96,-112.70999999999799,4709.250000000002,26.669557199999996,-139.37955719999798
TITAN,2024-09-05 11:15:00,2024-09-05 12:15:00,3720.8,3746.6,27.659999999999854,long,take_profit,8420.647666200006,5000,6.0,4464.960000000001,165.95999999999913,4630.92,24.666813599999998,141.29318639999912
M&M,2024-09-09 10:30:00,2024-09-09 15:25:00,2700.0,2711.15,11.150000000000091,long,market_close,8561.940852600004,5000,9.0,4860.0,100.35000000000082,4960.35,26.833652999999998,73.51634700000082
AXISBANK,2024-09-10 10:35:00,2024-09-10 10:50:00,1189.55,1185.76,-3.7899999999999636,long,stop_loss,8635.457199600005,5000,21.0,4996.11,-79.58999999999924,4916.52,27.583802400000003,-107.17380239999923
BAJAJ-AUTO,2024-09-12 10:40:00,2024-09-12 12:20:00,11740.1,11692.47,-47.63000000000102,long,stop_loss,8528.283397200006,5000,2.0,4696.04,-95.26000000000204,4600.779999999998,25.953963200000004,-121.21396320000204
HINDALCO,2024-09-12 14:05:00,2024-09-12 14:45:00,668.9,672.85,4.139999999999986,long,take_profit,8407.069434000005,5000,37.0,4949.86,153.1799999999995,5103.039999999999,27.3253288,125.8546711999995
WIPRO,2024-09-13 10:50:00,2024-09-13 11:20:00,549.9,547.45,-2.449999999999932,long,stop_loss,8532.924105200003,5000,45.0,4949.1,-110.24999999999693,4838.850000000003,27.365876999999998,-137.61587699999694
